_id,timestamp,userId,focusScore,currentStreak,longestStreak,sessionDuration,activeFileDuration,idleTime,typingRhythm,productivityStatus,__v,cluster,tabMetrics.total,tabMetrics.rapid,tabMetrics.patterns.backAndForth,tabMetrics.patterns.sequential,copyPasteMetrics.total,copyPasteMetrics.copy,copyPasteMetrics.cut,copyPasteMetrics.paste,errorMetrics.syntaxErrors,errorMetrics.warningCount,errorMetrics.problemCount,codeMetrics.linesAdded,codeMetrics.linesDeleted,codeMetrics.fileEdits,codeMetrics.codeComplexity,codeMetrics.testCoverage,achievements.0,errorSummary.total,errorSummary.recent,errorSummary.bySeverity.error,errorSummary.bySeverity.warning,errorSummary.bySeverity.info,kmeans_cluster,pca1,pca2,tsne1,tsne2,isolation_forest_anomaly
678b4b6b45ee875d7437c6a39,2025-01-18T15:54:28.777357,user_1,46.0,3,9,25.78429,844.624,860.463,49,In Flow 🌊,0,Low Productivity,20,4,3,1,10,1,0,4,2,6,16,54,29,4,3,70,,24,[],2,6,16,0,2.9973696259773766,0.5688044948649305,59.167416,-4.0206323,1
678b4b6b45ee875d7437c6a40,2025-01-18T16:04:28.777357,user_1,59.3,3,5,27.501677,644.271,753.023,51,In Flow 🌊,0,Low Productivity,20,5,0,0,5,0,3,4,0,5,8,180,26,9,3,46,,13,[],0,5,8,1,0.2535672013092364,-0.652411109336534,10.644877,26.867952,1
678b4b6b45ee875d7437c6a41,2025-01-18T16:07:28.777357,user_3,63.5,2,8,45.987094,617.018,685.946,44,In Flow 🌊,0,Moderate Productivity,2,0,2,0,2,3,2,2,1,2,6,167,39,8,10,27,,9,[],1,2,6,1,-0.7171411419637332,-1.2415522843522313,-3.45937,16.615602,1
678b4b6b45ee875d7437c6a42,2025-01-18T16:08:28.777357,user_2,79.0,0,3,53.912618,1172.012,424.832,67,Focused 🎯,0,High Productivity,2,3,0,5,10,2,0,4,1,4,5,80,41,9,1,64,"{'type': 'PRODUCTIVITY_GURU', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a42_ach', 'timestamp': '2025-01-18T16:08:28.777357'}",10,[],1,4,5,2,-1.8026507577812265,1.3834302010906716,-29.201529,-29.89508,1
678b4b6b45ee875d7437c6a43,2025-01-18T16:10:28.777357,user_3,29.8,2,10,29.476957,744.094,922.065,34,Distracted 😕,0,Low Productivity,7,1,3,1,9,4,1,1,5,5,19,50,50,3,3,8,,29,[],5,5,19,0,5.164983486995378,0.3102760156825561,48.020298,11.845411,-1
678b4b6b45ee875d7437c6a44,2025-01-18T16:17:28.777357,user_2,85.2,5,2,50.400133,768.111,241.957,72,Focused 🎯,0,High Productivity,7,5,1,3,2,0,1,3,0,1,4,172,25,7,7,53,"{'type': 'DEBUGGING_MASTER', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a44_ach', 'timestamp': '2025-01-18T16:17:28.777357'}",5,[],0,1,4,2,-3.195434483487946,0.17551879140837082,-43.89057,-5.238557,1
678b4b6b45ee875d7437c6a45,2025-01-18T16:27:28.777357,user_1,72.5,4,1,49.963729,667.317,373.683,85,Focused 🎯,0,High Productivity,4,1,2,0,1,0,0,3,0,2,6,189,37,7,4,78,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a45_ach', 'timestamp': '2025-01-18T16:27:28.777357'}",8,[],0,2,6,2,-2.3411422136995563,0.4616785546736872,-28.020878,30.248981,1
678b4b6b45ee875d7437c6a46,2025-01-18T16:30:28.777357,user_1,68.9,1,5,44.009108,930.525,498.816,59,In Flow 🌊,0,Moderate Productivity,17,4,3,4,0,3,1,1,0,0,3,35,34,5,10,4,,3,[],0,0,3,2,-2.9590756718698596,-1.4054451110616721,-12.580029,-0.68884593,1
678b4b6b45ee875d7437c6a47,2025-01-18T16:33:28.777357,user_3,63.4,2,8,59.271963,1014.799,616.518,45,In Flow 🌊,0,Moderate Productivity,14,3,2,5,5,2,2,2,0,5,1,184,40,6,4,84,,6,[],0,5,1,1,-1.7881330185853341,-0.14002726318603154,4.771626,-17.553156,1
678b4b6b45ee875d7437c6a48,2025-01-18T16:42:28.777357,user_2,86.6,2,8,56.004171,516.427,278.356,72,Focused 🎯,0,High Productivity,12,2,1,0,0,4,2,0,0,3,10,190,2,3,1,17,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a48_ach', 'timestamp': '2025-01-18T16:42:28.777357'}",13,[],0,3,10,2,-1.5243699553197614,1.3601828737414032,-15.671858,35.138508,1
678b4b6b45ee875d7437c6a49,2025-01-18T16:46:28.777357,user_3,64.4,5,6,39.468046,777.205,604.128,58,In Flow 🌊,0,Moderate Productivity,11,1,2,4,3,3,0,3,1,3,1,139,42,6,10,40,,5,[],1,3,1,1,-1.6339349886446397,-1.1339005589273277,-1.6661279,-12.686578,1
678b4b6b45ee875d7437c6a50,2025-01-18T16:54:28.777357,user_2,38.7,2,1,44.205395,179.584,851.498,35,Distracted 😕,0,Low Productivity,9,5,2,1,1,0,2,3,3,4,13,0,50,4,4,63,,20,[],3,4,13,0,3.061174969982614,-0.9348313031568317,43.49969,13.238589,1
678b4b6b45ee875d7437c6a51,2025-01-18T16:56:28.777357,user_3,27.3,5,9,29.916854,334.452,1028.301,29,Distracted 😕,0,Low Productivity,12,2,1,0,8,3,0,1,2,5,9,39,13,4,1,6,,16,[],2,5,9,0,2.719422878873091,-1.837016197776342,28.796343,8.154942,1
678b4b6b45ee875d7437c6a52,2025-01-18T17:03:28.777357,user_1,73.1,2,1,43.827962,1034.189,687.104,64,Focused 🎯,0,Moderate Productivity,1,5,2,3,4,3,0,4,0,1,5,152,23,8,5,22,,6,[],0,1,5,1,-2.383341268201026,-0.54210017984318,-23.755463,24.525892,1
678b4b6b45ee875d7437c6a53,2025-01-18T17:12:28.777357,user_1,56.2,5,9,35.504155,964.168,774.022,24,In Flow 🌊,0,Low Productivity,6,0,3,4,3,1,0,5,0,1,6,14,29,4,7,92,,7,[],0,1,6,1,-1.069252922745844,-2.0996524191806376,2.0994031,-6.9664187,1
678b4b6b45ee875d7437c6a54,2025-01-18T17:16:28.777357,user_2,90.3,0,4,56.088094,1015.028,262.491,74,Focused 🎯,0,High Productivity,10,0,0,2,8,1,3,4,0,5,4,172,50,1,9,17,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a54_ach', 'timestamp': '2025-01-18T17:16:28.777357'}",9,[],0,5,4,2,-2.5180943797389714,1.6178854727170586,-44.415176,-39.09564,1
678b4b6b45ee875d7437c6a55,2025-01-18T17:25:28.777357,user_2,41.7,3,7,49.178069,336.313,949.589,24,In Flow 🌊,0,Low Productivity,20,4,3,5,0,4,2,2,2,5,13,22,10,3,5,84,,20,[],2,5,13,0,2.8825380437163304,-0.7497450568288002,43.754395,-19.065731,1
678b4b6b45ee875d7437c6a56,2025-01-18T17:29:28.777357,user_1,71.1,0,7,47.054668,1144.524,489.406,66,Focused 🎯,0,Moderate Productivity,6,4,1,1,5,1,0,5,1,2,8,140,9,3,1,38,"{'type': 'DEBUGGING_MASTER', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a56_ach', 'timestamp': '2025-01-18T17:29:28.777357'}",11,[],1,2,8,2,-1.4997198683951416,0.7284704569472427,-25.060553,-22.549791,1
678b4b6b45ee875d7437c6a57,2025-01-18T17:35:28.777357,user_3,54.5,0,5,46.915808,687.637,1006.152,33,In Flow 🌊,0,Low Productivity,3,3,3,1,0,2,3,1,1,1,8,13,10,8,3,3,,10,[],1,1,8,1,-0.06331754903409796,-1.8686289171637782,21.419617,25.491758,1
678b4b6b45ee875d7437c6a58,2025-01-18T17:43:28.777357,user_2,30.0,2,4,25.185722,252.52,1027.296,53,Distracted 😕,0,Low Productivity,16,3,1,5,4,5,3,5,4,9,9,88,30,4,1,46,,22,[],4,9,9,0,4.429563285358254,-0.3194658712454131,64.75253,14.987476,1
678b4b6b45ee875d7437c6a59,2025-01-18T17:46:28.777357,user_1,100.0,3,5,61.369338,965.354,266.835,95,Focused 🎯,0,High Productivity,1,5,2,5,8,4,2,1,2,3,6,169,50,5,2,43,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a59_ach', 'timestamp': '2025-01-18T17:46:28.777357'}",11,[],2,3,6,2,-2.2994556393838406,2.39642461998112,-39.012985,-6.436275,1
678b4b6b45ee875d7437c6a60,2025-01-18T17:50:28.777357,user_2,37.4,0,7,50.41532,461.977,1038.317,21,Distracted 😕,0,Low Productivity,6,3,1,3,7,0,2,3,5,3,12,45,15,8,0,35,,20,[],5,3,12,0,3.6280628437143787,-1.0121135566225608,46.43285,23.98457,1
678b4b6b45ee875d7437c6a61,2025-01-18T17:59:28.777357,user_2,20.6,0,9,18.547471,364.8,1047.949,49,Distracted 😕,0,Low Productivity,6,2,0,4,4,2,1,3,3,8,11,2,39,5,4,91,,22,[],3,8,11,0,4.277319542453775,-0.8261334405079623,49.83548,-2.2180338,1
678b4b6b45ee875d7437c6a62,2025-01-18T18:06:28.777357,user_3,77.4,2,10,32.466504,1296.056,342.267,96,Focused 🎯,0,High Productivity,16,0,0,4,9,1,3,1,1,5,6,164,5,3,3,69,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a62_ach', 'timestamp': '2025-01-18T18:06:28.777357'}",12,[],1,5,6,2,-1.68174624689499,1.9556575406537542,-12.890026,-40.770348,1
678b4b6b45ee875d7437c6a63,2025-01-18T18:07:28.777357,user_3,76.3,0,5,43.420853,831.006,598.431,39,Focused 🎯,0,Moderate Productivity,16,2,0,4,5,1,2,1,0,1,6,97,38,4,10,50,,7,[],0,1,6,1,-1.819079050448911,-1.2558971156247518,-10.495267,-4.8294964,1
678b4b6b45ee875d7437c6a64,2025-01-18T18:08:28.777357,user_2,75.3,2,7,55.836743,748.418,280.542,61,Focused 🎯,0,High Productivity,19,3,1,3,2,4,1,2,2,2,3,21,48,5,10,82,"{'type': 'DEBUGGING_MASTER', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a64_ach', 'timestamp': '2025-01-18T18:08:28.777357'}",7,[],2,2,3,2,-1.8807867324223884,-0.13447606629465383,-40.928516,7.965013,1
678b4b6b45ee875d7437c6a65,2025-01-18T18:16:28.777357,user_3,53.5,3,10,40.545905,1154.507,627.611,68,In Flow 🌊,0,Moderate Productivity,5,3,2,0,10,5,1,4,0,1,2,135,8,4,10,77,,3,[],0,1,2,1,-2.7265217904151178,-1.2400236475931683,-4.927991,17.968966,1
678b4b6b45ee875d7437c6a66,2025-01-18T18:21:28.777357,user_3,78.2,4,7,39.19643,848.227,683.923,53,Focused 🎯,0,Moderate Productivity,7,1,0,4,0,5,2,2,0,0,2,67,36,9,9,54,,2,[],0,0,2,1,-2.871252028898432,-1.886443167789607,-21.998178,12.353381,1
678b4b6b45ee875d7437c6a67,2025-01-18T18:27:28.777357,user_3,55.3,1,3,53.69469,438.332,646.464,61,In Flow 🌊,0,Moderate Productivity,11,2,1,4,4,3,3,3,1,2,7,103,31,2,9,32,,10,[],1,2,7,1,-0.6284736183302616,-0.8228523934920342,6.278169,13.848113,1
678b4b6b45ee875d7437c6a68,2025-01-18T18:28:28.777357,user_3,76.3,4,8,47.193049,917.922,512.14,80,Focused 🎯,0,High Productivity,6,3,2,0,7,0,3,3,1,2,5,18,42,1,7,98,,8,[],1,2,5,2,-2.0532795507833144,0.15051520182045341,-7.8343034,12.425383,1
678b4b6b45ee875d7437c6a69,2025-01-18T18:33:28.777357,user_3,50.0,3,10,34.473432,281.237,719.261,29,In Flow 🌊,0,Low Productivity,6,2,3,1,10,2,1,5,5,8,15,60,42,6,1,79,,28,[],5,8,15,0,5.158370782039305,0.8330219858535172,76.26254,7.819481,-1
678b4b6b45ee875d7437c6a70,2025-01-18T18:37:28.777357,user_1,54.9,4,3,49.845386,547.213,957.915,36,In Flow 🌊,0,Low Productivity,16,1,1,5,8,2,2,3,2,3,10,137,14,8,5,48,,15,[],2,3,10,1,1.262104183131245,-0.8026123912350328,24.177961,2.455149,1
678b4b6b45ee875d7437c6a71,2025-01-18T18:43:28.777357,user_2,47.6,5,3,38.855736,783.975,539.462,60,In Flow 🌊,0,Moderate Productivity,11,5,1,1,8,0,3,2,1,8,8,122,13,4,9,54,,17,[],1,8,8,1,1.0828886704755831,1.0714691175703444,42.81583,-12.462016,1
678b4b6b45ee875d7437c6a72,2025-01-18T18:45:28.777357,user_2,46.5,5,5,53.792684,460.479,652.491,70,In Flow 🌊,0,Moderate Productivity,7,3,2,4,6,4,1,3,3,3,17,100,1,5,4,2,,23,[],3,3,17,0,2.229986069884393,1.2817131134702529,37.535618,-30.845577,1
